matched_id,parking_name,parking_addr,parking_type,parking_spaces,best_grade,best_distance_m,ev_station_count,best_statId,best_charger_name,evidence
155-2-000054,외환들 공영주차장,대구광역시 수성구 삼덕동 360-4,공영,642,STRONG,13.2,1,CV002163,외환들공영주차장,좌표 거리 13.2m · 충전소명·주차장명 유사
152-2-000024,달서교하부공영주차장(화물차전용주차장),대구광역시 서구 이현동 423-4번지,공영,80,STRONG,13.5,1,CV001623,달서교하부공영주차장,좌표 거리 13.5m · 충전소명·주차장명 유사
152-2-000027,서구청소년수련관,대구광역시 서구 이현동 48-8번지,공영,35,STRONG,13.8,1,CV002915,대구시_대구서구청소년수련관,좌표 거리 13.8m · 충전소명·주차장명 유사
155-2-000062,신매2공영주차장,대구광역시 수성구 신매동 568,공영,55,STRONG,13.8,1,CV001121,시설공단대구_신매2 공영주차장,좌표 거리 13.8m · 충전소명·주차장명 유사
155-2-000057,노변공영주차장,대구광역시 수성구 시지동 490,공영,60,STRONG,14.0,1,KP003775,노변공영주차장,좌표 거리 14.0m · 충전소명·주차장명 유사
156-2-000014,월광 1주차장,대구시 달서구 도원동 928,공영,169,STRONG,14.0,2,CV003066,대구시_월광수변공원주차장,좌표 거리 14.0m · 주소 번지 숫자 일치
150-1-000172,동인동행정복지센터 앞 노상무료,대구광역시 중구 동인동4가 318-5,공영,1,STRONG,14.1,2,DG110009,동인동행정복지센터,좌표 거리 14.1m · 충전소명·주차장명 유사
153-2-000012,성당시장 공영주차장,대구광역시 남구 대명4동 3024-6번지,공영,59,STRONG,14.3,1,CV001970,성당시장 공영주차장,좌표 거리 14.3m · 충전소명·주차장명 유사
150-2-000033,측백향 커뮤니티센터 주차장,대구 동구 도평로 245,공영,23,STRONG,14.6,1,CV000979,대구시_도동 측백향커뮤니티센터,좌표 거리 14.6m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
153-2-000033,강당골 공영주차장,대구광역시 남구 봉덕3동 1272-18번지,공영,179,STRONG,14.6,2,DO000034,강당골 공영주차장,좌표 거리 14.6m · 충전소명·주차장명 유사
156-2-000012,도원동 마을공영주차장,대구시 달서구 도원동 668-10,공영,11,STRONG,14.8,2,ME18C176,도원동마을공영주차장,좌표 거리 14.8m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000023,학산공원 삼거리 주차장,대구시 달서구 본동 1119,공영,73,STRONG,15.2,2,ME25C167,학산공원 삼거리 주차장,좌표 거리 15.2m · 충전소명·주차장명 유사
151-2-000041,갓바위 1공영주차장,대구광역시 동구 진인동 123-30,공영,60,STRONG,15.5,1,CV002394,갓바위1공영주차장,좌표 거리 15.5m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000081,호림1공영주차장,대구시 달서구 호림동 13-10,공영,201,STRONG,16.1,2,CV001123,시설공단대구_호림1 공영주차장,좌표 거리 16.1m · 충전소명·주차장명 유사
156-2-000013,수밭근린공원주차장,대구시 달서구 도원동 885-2,공영,86,STRONG,16.8,1,ME25C277,수밭근린공원 주차장,좌표 거리 16.8m · 충전소명·주차장명 유사
361-3-000001,"군위군민회관, 군위노인복지회관 주차장",대구 군위군 군위읍 군청로 98-6,공영,11,STRONG,17.7,1,ME22C193,군위군노인복지관,좌표 거리 17.7m · 주소 번지 숫자 일치
151-2-000014,안심 2동 공영주차장,대구광역시 동구 용계동 923-3,공영,17,STRONG,18.1,1,ME18C178,안심2동 공영주차장,좌표 거리 18.1m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000051,달서별빛캠프 주차장,대구시 달서구 송현동 산56,공영,405,STRONG,18.3,1,ME18C255,달서별빛캠프 캠핑장,좌표 거리 18.3m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
151-2-000007,방촌 공영주차장(방촌시장),대구광역시 동구 방촌동 1072-1,공영,47,STRONG,18.5,1,CV001971,방촌공영주차장,좌표 거리 18.5m · 충전소명·주차장명 유사
156-2-000072,장기공영주차장,대구시 달서구 장기동 817-1,공영,25,STRONG,18.5,2,CV000502,대구시_장기공영주차장,좌표 거리 18.5m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000038,청소년수련관 공영주차장,대구시 달서구 상인동 1593,공영,195,STRONG,19.1,1,CV001493,대구달서구 청소년수련관 공영주차장,좌표 거리 19.1m · 충전소명·주차장명 유사
156-2-000011,월광 5주차장,대구시 달서구 도원동 1176-1,공영,54,STRONG,19.9,1,CV002324,월광5주차장,좌표 거리 19.9m · 주소 번지 숫자 일치
155-1-000143,수성알파시티 전기충전주차장 1,대구 수성구 대흥동 863,공영,3,STRONG,19.9,2,CV000048,대구시_수성의료지구(대구도시공사),좌표 거리 19.9m · 주소 번지 숫자 일치
